,date,name,value,lastValue
791,2020-06-07,pasta,9,9
792,2020-06-07,pizza,77,82
793,2020-06-07,salad,16,15
794,2020-06-07,taco,20,20
795,2020-06-08,beer,11,16
796,2020-06-08,pasta,8,9
797,2020-06-08,pizza,51,77
798,2020-06-08,salad,12,16
799,2020-06-08,taco,15,20
800,2020-06-09,beer,11,11
801,2020-06-09,pasta,8,8
802,2020-06-09,pizza,50,51
803,2020-06-09,salad,12,12
804,2020-06-09,taco,17,15
805,2020-06-10,beer,11,11
806,2020-06-10,pasta,8,8
807,2020-06-10,pizza,53,50
808,2020-06-10,salad,12,12
809,2020-06-10,taco,16,17
810,2020-06-11,beer,12,11
811,2020-06-11,pasta,7,8
812,2020-06-11,pizza,56,53
813,2020-06-11,salad,12,12
814,2020-06-11,taco,16,16
815,2020-06-12,beer,13,12
816,2020-06-12,pasta,7,7
817,2020-06-12,pizza,73,56
818,2020-06-12,salad,13,12
819,2020-06-12,taco,17,16
820,2020-06-13,beer,17,13
821,2020-06-13,pasta,8,7
822,2020-06-13,pizza,83,73
823,2020-06-13,salad,15,13
824,2020-06-13,taco,20,17
825,2020-06-14,beer,16,17
826,2020-06-14,pasta,9,8
827,2020-06-14,pizza,77,83
828,2020-06-14,salad,16,15
829,2020-06-14,taco,20,20
830,2020-06-15,beer,11,16
831,2020-06-15,pasta,8,9
832,2020-06-15,pizza,52,77
833,2020-06-15,salad,12,16
834,2020-06-15,taco,15,20
835,2020-06-16,beer,12,11
836,2020-06-16,pasta,8,8
837,2020-06-16,pizza,53,52
838,2020-06-16,salad,13,12
839,2020-06-16,taco,17,15
840,2020-06-17,beer,12,12
841,2020-06-17,pasta,8,8
842,2020-06-17,pizza,53,53
843,2020-06-17,salad,13,13
844,2020-06-17,taco,16,17
845,2020-06-18,beer,13,12
846,2020-06-18,pasta,8,8
847,2020-06-18,pizza,56,53
848,2020-06-18,salad,13,13
849,2020-06-18,taco,18,16
