date,name,value,lastValue
5/24/20,Trump,3,8
5/24/20,Stimulus,4,10
5/25/20,Pizza,6,8
5/25/20,Stimulus,4,11
5/25/20,Coronavirus,11,25
5/25/20,Trump,4,3
5/25/20,Weather,25,4
5/26/20,Trump,3,6
5/26/20,Coronavirus,11,4
5/26/20,Pizza,5,11
5/26/20,Weather,21,4
5/26/20,Stimulus,5,25
5/27/20,Trump,4,3
5/27/20,Weather,21,11
5/27/20,Coronavirus,10,5
5/27/20,Stimulus,5,21
5/27/20,Pizza,5,5
5/28/20,Weather,21,4
5/28/20,Coronavirus,9,21
5/28/20,Trump,5,10
5/28/20,Stimulus,5,5
5/28/20,Pizza,5,5
5/29/20,Trump,7,21
5/29/20,Weather,20,9
5/29/20,Stimulus,5,5
5/29/20,Pizza,7,5
5/29/20,Coronavirus,9,5
5/30/20,Pizza,8,7
5/30/20,Trump,6,20
5/30/20,Weather,19,5
5/30/20,Coronavirus,8,7
5/30/20,Stimulus,4,9
5/31/20,Stimulus,3,8
5/31/20,Pizza,7,6
5/31/20,Weather,16,19
5/31/20,Coronavirus,8,8
5/31/20,Trump,7,4
6/1/20,Stimulus,4,3
6/1/20,Coronavirus,8,7
6/1/20,Pizza,5,16
6/1/20,Weather,15,8
6/1/20,Trump,10,7
6/2/20,Trump,12,4
6/2/20,Weather,17,8
6/2/20,Stimulus,4,5
6/2/20,Coronavirus,7,15
6/2/20,Pizza,5,10
6/3/20,Stimulus,4,12
6/3/20,Pizza,5,17
6/3/20,Trump,9,4
6/3/20,Coronavirus,7,7
6/3/20,Weather,21,5
6/4/20,Weather,21,4
6/4/20,Trump,8,5
6/4/20,Coronavirus,7,9
6/4/20,Pizza,5,7
6/4/20,Stimulus,4,21
6/5/20,Weather,21,21
6/5/20,Trump,7,8
6/5/20,Stimulus,4,7
6/5/20,Coronavirus,8,5
6/5/20,Pizza,7,4
6/6/20,Weather,22,21
6/6/20,Trump,7,7
6/6/20,Stimulus,3,4
6/6/20,Coronavirus,7,8
6/6/20,Pizza,8,7
6/7/20,Trump,6,22
6/7/20,Coronavirus,8,7
6/7/20,Stimulus,3,3
6/7/20,Pizza,7,7
6/7/20,Weather,20,8
6/8/20,Coronavirus,8,6
6/8/20,Trump,5,8
6/8/20,Weather,17,3
6/8/20,Stimulus,3,7
6/8/20,Pizza,5,20
6/9/20,Weather,20,8
6/9/20,Stimulus,3,5
6/9/20,Trump,5,17
6/9/20,Coronavirus,7,3
6/9/20,Pizza,5,5
6/10/20,Pizza,5,20
6/10/20,Weather,22,3
6/10/20,Stimulus,3,5
6/10/20,Trump,5,7
6/10/20,Coronavirus,8,5
6/11/20,Stimulus,3,5
6/11/20,Trump,5,22
6/11/20,Weather,18,3
6/11/20,Coronavirus,8,5
6/11/20,Pizza,5,8
6/12/20,Stimulus,3,3
6/12/20,Coronavirus,8,5
6/12/20,Trump,5,18
6/12/20,Weather,15,8
6/12/20,Pizza,7,5
6/13/20,Stimulus,2,3
6/13/20,Trump,6,8
6/13/20,Pizza,8,5
6/13/20,Weather,17,15
6/13/20,Coronavirus,8,7
6/14/20,Trump,8,2
6/14/20,Pizza,7,6
6/14/20,Weather,16,8
6/14/20,Coronavirus,8,17
6/14/20,Stimulus,2,8
6/15/20,Trump,7,8
6/15/20,Stimulus,3,7
6/15/20,Weather,15,16
6/15/20,Coronavirus,8,8
6/15/20,Pizza,5,2
6/16/20,Trump,5,7
6/16/20,Weather,14,3
6/16/20,Stimulus,3,15
6/16/20,Coronavirus,8,8
6/16/20,Pizza,5,5
6/17/20,Stimulus,3,5
6/17/20,Coronavirus,8,14
6/17/20,Weather,15,3
6/17/20,Pizza,5,8
6/17/20,Trump,5,5
6/18/20,Coronavirus,8,3
6/18/20,Weather,17,8
6/18/20,Pizza,5,15
6/18/20,Trump,6,5
6/18/20,Stimulus,3,5
6/19/20,Stimulus,2,8
6/19/20,Trump,6,17
6/19/20,Pizza,7,5
6/19/20,Weather,19,6
6/19/20,Coronavirus,8,3
6/20/20,Trump,10,2
6/20/20,Pizza,8,6
6/20/20,Weather,22,7
6/20/20,Stimulus,2,19
6/20/20,Coronavirus,9,8
6/21/20,Weather,20,10
6/21/20,Trump,14,8
6/21/20,Stimulus,2,22
6/21/20,Pizza,8,2
6/21/20,Coronavirus,8,9
6/22/20,Pizza,5,20
6/22/20,Weather,20,14
6/22/20,Coronavirus,9,2
6/22/20,Stimulus,2,8
6/22/20,Trump,7,8
6/23/20,Stimulus,4,5
6/23/20,Trump,6,20
6/23/20,Weather,19,9
6/23/20,Coronavirus,9,2
6/23/20,Pizza,5,7
6/24/20,Stimulus,4,4
6/24/20,Trump,6,6
6/24/20,Coronavirus,10,19
6/24/20,Weather,18,9
6/24/20,Pizza,5,5
6/25/20,Weather,17,4
6/25/20,Stimulus,3,6
6/25/20,Trump,5,10
6/25/20,Pizza,5,18
6/25/20,Coronavirus,11,5
6/26/20,Stimulus,3,17
6/26/20,Pizza,7,3
6/26/20,Coronavirus,12,5
6/26/20,Weather,20,5
6/26/20,Trump,5,11
6/27/20,Coronavirus,11,3
6/27/20,Trump,6,7
6/27/20,Weather,23,12
6/27/20,Pizza,8,20
6/27/20,Stimulus,2,5
6/28/20,Stimulus,2,11
6/28/20,Pizza,8,6
6/28/20,Coronavirus,11,23
6/28/20,Weather,21,8
6/28/20,Trump,8,2
6/29/20,Pizza,5,2
6/29/20,Weather,18,8
6/29/20,Stimulus,3,11
6/29/20,Trump,7,21
6/29/20,Coronavirus,11,8
6/30/20,Trump,6,5
6/30/20,Pizza,5,18
6/30/20,Coronavirus,12,3
6/30/20,Weather,17,7
6/30/20,Stimulus,3,11
7/1/20,Coronavirus,11,6
7/1/20,Weather,17,5
7/1/20,Pizza,5,12
7/1/20,Stimulus,3,17
7/1/20,Trump,5,3
7/2/20,Pizza,6,11
7/2/20,Weather,14,17
7/2/20,Coronavirus,11,5
